,基金代码,拼音缩写,基金简称,基金类型,拼音全称
8639,010482,HTFSH66GYDKZ,汇添富盛和66个月定开债,定开债券,HUITIANFUSHENGHE66GEYUEDINGKAIZHAI
8640,010483,JYQDHH,交银启道混合,混合型,JIAOYINQIDAOHUNHE
8641,010484,ZYLHJXHHC,中银量化精选混合C,混合型,ZHONGYINLIANGHUAJINGXUANHUNHEC
8642,010485,ZHRC87GYDKZA,中航瑞晨87个月定开债A,定开债券,ZHONGHANGRUICHEN87GEYUEDINGKAIZHAIA
8643,010486,ZHRC87GYDKZC,中航瑞晨87个月定开债C,定开债券,ZHONGHANGRUICHEN87GEYUEDINGKAIZHAIC
8644,010487,ZYSYHBYNCYHH,中银顺盈回报一年持有混合,混合型,ZHONGYINSHUNYINGHUIBAOYINIANCHIYOUHUNHE
8645,010488,PHYXCZHHA,鹏华优选成长混合A,混合型,PENGHUAYOUXUANCHENGCHANGHUNHEA
8646,010489,PHYXCZHHC,鹏华优选成长混合C,混合型,PENGHUAYOUXUANCHENGCHANGHUNHEC
8647,010490,PHGZLZZHHA,鹏华高质量增长混合A,混合型,PENGHUAGAOZHILIANGZENGZHANGHUNHEA
8648,010491,PHGZLZZHHC,鹏华高质量增长混合C,混合型,PENGHUAGAOZHILIANGZENGZHANGHUNHEC
8649,010492,DMZZ13NNFZ,大摩中债1-3年农发债,债券指数,DAMOZHONGZHAI13NIANNONGFAZHAI
8650,010493,ZHRYYNDKZA,中航瑞昱一年定开债A,定开债券,ZHONGHANGRUIYUYINIANDINGKAIZHAIA
8651,010494,ZHRYYNDKZC,中航瑞昱一年定开债C,定开债券,ZHONGHANGRUIYUYINIANDINGKAIZHAIC
8652,010495,CJHXCXQDGPA,创金合信创新驱动股票A,股票型,CHUANGJINHEXINCHUANGXINQUDONGGUPIAOA
8653,010496,CJHXCXQDGPC,创金合信创新驱动股票C,股票型,CHUANGJINHEXINCHUANGXINQUDONGGUPIAOC
8654,010497,GDZZ15NZJZ,光大中债1-5年政金债,债券指数,GUANGDAZHONGZHAI15NIANZHENGJINZHAI
8655,010498,GJHNZDQLLZA,国金惠宁中短期利率债A,债券型,GUOJINHUININGZHONGDUANQILILVZHAIA
8656,010499,GJHNZDQLLZC,国金惠宁中短期利率债C,债券型,GUOJINHUININGZHONGDUANQILILVZHAIC
8657,010500,ZYCXYLHHC,中银创新医疗混合C,混合型,ZHONGYINCHUANGXINYILIAOHUNHEC
8658,010501,ZTQYAY66GYDKZ,中泰青月安盈66个月定开债,定开债券,ZHONGTAIQINGYUEANYING66GEYUEDINGKAIZHAI
8659,010502,CTYT87GYDKZ,财通裕泰87个月定开债,定开债券,CAITONGYUTAI87GEYUEDINGKAIZHAI
8660,010503,ZSWXHHA,招商稳兴混合A,混合型,ZHAOSHANGWENXINGHUNHEA
8661,010504,ZSWXHHC,招商稳兴混合C,混合型,ZHAOSHANGWENXINGHUNHEC
8662,010505,SWLXCYBLHJXGPC,申万菱信创业板量化精选股票C,股票型,SHENWANLINGXINCHUANGYEBANLIANGHUAJINGXUANGUPIAOC
8663,010506,DFHRXSNDKHHC,东方红睿玺三年定开混合C,混合型,DONGFANGHONGRUIXISANNIANDINGKAIHUNHEC
8664,010507,ZSTJ1NDKZFQS,招商添锦1年定开债发起式,定开债券,ZHAOSHANGTIANJIN1NIANDINGKAIZHAIFAQISHI
8665,010508,BSXKHHA,博时鑫康混合A,混合型,BOSHIXINKANGHUNHEA
8666,010509,ZYPBBKLYH15N,中银彭博巴克莱银行1-5年,债券指数,ZHONGYINPENGBOBAKELAIYINHANG15NIAN
8667,010510,GY14TLCZQFQC,工银14天理财债券发起C,债券型,GONGYIN14TIANLICAIZHAIQUANFAQIC
8668,010511,BSXKHHC,博时鑫康混合C,混合型,BOSHIXINKANGHUNHEC
8669,010512,GY7TLCZQC,工银7天理财债券C,债券型,GONGYIN7TIANLICAIZHAIQUANC
8670,010513,CHYJZQA,淳厚益加债券A,债券型,CHUNHOUYIJIAZHAIQUANA
8671,010514,CHYJZQC,淳厚益加债券C,债券型,CHUNHOUYIJIAZHAIQUANC
8672,010515,FGTXHBHHA,富国天兴回报混合A,混合型,FUGUOTIANXINGHUIBAOHUNHEA
8673,010516,JHZZ13NZJZZSA,嘉合中债-1-3年政金债指数A,债券指数,JIAHEZHONGZHAI13NIANZHENGJINZHAIZHISHUA
8674,010517,JHZZ13NZJZZSC,嘉合中债-1-3年政金债指数C,债券指数,JIAHEZHONGZHAI13NIANZHENGJINZHAIZHISHUC
8675,010518,HXXFKJYNDKHHA,华夏先锋科技一年定开混合A,混合型,HUAXIAXIANFENGKEJIYINIANDINGKAIHUNHEA
8676,010519,HXXFKJYNDKHHC,华夏先锋科技一年定开混合C,混合型,HUAXIAXIANFENGKEJIYINIANDINGKAIHUNHEC
8677,010520,XYZZ35NZCXJRZA,兴业中债3-5年政策性金融债A,债券指数,XINGYEZHONGZHAI35NIANZHENGCEXINGJINRONGZHAIA
8678,010521,XYZZ35NZCXJRZC,兴业中债3-5年政策性金融债C,债券指数,XINGYEZHONGZHAI35NIANZHENGCEXINGJINRONGZHAIC
8679,010522,HATXYNCYQHHA,华安添禧一年持有期混合A,混合型,HUAANTIANXIYINIANCHIYOUQIHUNHEA
8680,010523,HATXYNCYQHHC,华安添禧一年持有期混合C,混合型,HUAANTIANXIYINIANCHIYOUQIHUNHEC
8681,010524,YHZZ5GTXZTETFLJC,银华中证5G通信主题ETF联接C,联接基金,YINHUAZHONGZHENG5GTONGXINZHUTIETFLIANJIEC
8682,010525,FGTXHBHHC,富国天兴回报混合C,混合型,FUGUOTIANXINGHUIBAOHUNHEC
