,基金代码,拼音缩写,基金简称,基金类型,拼音全称
2392,003179,SXYLDKZ,山西裕利定开债,定开债券,SHANXIYULIDINGKAIZHAI
2393,003180,QHLHTLZQA,前海联合添利债券A,债券型,QIANHAILIANHETIANLIZHAIQUANA
2394,003181,QHLHTLZQC,前海联合添利债券C,债券型,QIANHAILIANHETIANLIZHAIQUANC
2395,003182,HFHXHHA,华富弘鑫混合A,混合型,HUAFUHONGXINHUNHEA
2396,003183,HFHXHHC,华富弘鑫混合C,混合型,HUAFUHONGXINHUNHEC
2397,003184,ZZCTKCXFZ100ZSC,中证财通可持续发展100指数C,股票指数,ZHONGZHENGCAITONGKECHIXUFAZHAN100ZHISHUC
2398,003185,JXHBB,建信货币B,货币型,JIANXINHUOBIB
2399,003186,PHXADQKFHH,鹏华兴安定期开放混合,混合型,PENGHUAXINGANDINGQIKAIFANGHUNHE
2400,003187,JSAYHH,嘉实安益混合,混合型,JIASHIANYIHUNHE
2401,003188,BSJYCZZQA,博时聚源纯债债券A,债券型,BOSHIJUYUANCHUNZHAIZHAIQUANA
2402,003189,HTFBXLHPZHHA,汇添富保鑫灵活配置混合A,混合型,HUITIANFUBAOXINLINGHUOPEIZHIHUNHEA
2403,003190,CJHXXFZTGPA,创金合信消费主题股票A,股票型,CHUANGJINHEXINXIAOFEIZHUTIGUPIAOA
2404,003191,CJHXXFZTGPC,创金合信消费主题股票C,股票型,CHUANGJINHEXINXIAOFEIZHUTIGUPIAOC
2405,003192,CJHXZFCZ,创金合信尊丰纯债,债券型,CHUANGJINHEXINZUNFENGCHUNZHAI
2406,003193,CJHXZZCZ,创金合信尊智纯债,债券型,CHUANGJINHEXINZUNZHICHUNZHAI
2407,003194,HTFZZSHGQETFLJ,汇添富中证上海国企ETF联接,联接基金,HUITIANFUZHONGZHENGSHANGHAIGUOQIETFLIANJIE
2408,003195,GDYLCZA,光大永利纯债A,债券型,GUANGDAYONGLICHUNZHAIA
2409,003196,GDYLCZC,光大永利纯债C,债券型,GUANGDAYONGLICHUNZHAIC
2410,003197,GDACZQA,光大安诚债券A,债券型,GUANGDAANCHENGZHAIQUANA
2411,003198,GDACZQC,光大安诚债券C,债券型,GUANGDAANCHENGZHAIQUANC
2412,003199,CSSQYNZQA,长盛盛琪一年债券A,定开债券,CHANGSHENGSHENGQIYINIANZHAIQUANA
2413,003200,CSSQYNZQC,长盛盛琪一年债券C,定开债券,CHANGSHENGSHENGQIYINIANZHAIQUANC
2414,003204,CTSYZQZQC,财通收益增强债券C,债券型,CAITONGSHOUYIZENGQIANGZHAIQUANC
2415,003205,CTKZZZQC,财通可转债债券C,债券型,CAITONGKEZHUANZHAIZHAIQUANC
2416,003206,BSHXHB,博时合鑫货币,货币型,BOSHIHEXINHUOBI
2417,003207,BSFFCZ,博时富发纯债,债券型,BOSHIFUFACHUNZHAI
2418,003209,PHFDZQ,鹏华丰达债券,债券型,PENGHUAFENGDAZHAIQUAN
